"nmqm","wfl.gekappt","bj","WL","Zentral","Gebtyp.23","Modern.Boden","Boden.Fak","kue.score.23","bad.score23","Fussboden.Heizung"
14.18,55,1993.5,"gute",1,"anderer",0,"gut",0,0,0
17.86,84,2012.5,"gute",1,"anderer",0,"gut",3,2,1
17.74,62,2003.5,"gute",1,"anderer",1,"gut",0,1,1
11.08,68,1972,"durchschnittliche",1,"anderer",0,"wedernoch",0,0,0
15.44,68,1983,"durchschnittliche",1,"anderer",0,"gut",3,1,0
14.88,28,1957.5,"gute",1,"anderer",0,"einfach",0,0,0
9.96,81,1918,"gute",1,"anderer",0,"gut",0,1,0
16.53,24,1957.5,"durchschnittliche",1,"Hochhaus",0,"gut",0,1,0
16.66,72,1918,"gute",1,"anderer",0,"gut",0,1,0
24.79,70,2020.5,"durchschnittliche",1,"anderer",0,"gut",3,2,0
15.94,135,1918,"gute",1,"anderer",0,"gut",0,2,0
14.74,54,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
13.76,67,1972,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
18.11,112,2018,"durchschnittliche",0,"anderer",0,"gut",0,1,1
12.07,60,1972,"durchschnittliche",0,"anderer",0,"gut",0,1,0
14.18,76,1972,"durchschnittliche",0,"Hochhaus",0,"gut",0,1,0
14.18,79,1918,"beste",1,"Wohnblock",0,"gut",0,3,0
20.58,100,1918,"gute",1,"anderer",0,"gut",0,2,0
16.49,53,1957.5,"gute",1,"anderer",0,"gut",0,1,0
9.63,79,1957.5,"gute",1,"anderer",0,"gut",0,0,0
21.25,40,1957.5,"gute",1,"anderer",0,"gut",0,0,0
13.37,51,1957.5,"beste",1,"anderer",0,"gut",0,2,0
13.97,101,1957.5,"beste",1,"anderer",0,"wedernoch",0,1,0
20.95,88,1924,"gute",1,"anderer",1,"gut",3,1,1
21.4,50,1957.5,"gute",1,"anderer",0,"gut",0,0,0
14.41,73,1957.5,"gute",1,"anderer",0,"gut",0,1,0
15.67,70,1957.5,"gute",1,"Wohnblock",0,"gut",3,1,0
13,50,1957.5,"gute",1,"anderer",0,"gut",0,0,0
6.39,91,1924,"gute",1,"anderer",0,"gut",0,0,0
13.73,51,1957.5,"gute",1,"anderer",0,"einfach",0,0,0
13.58,76,1957.5,"gute",1,"anderer",0,"wedernoch",3,0,0
10.35,60,1957.5,"gute",1,"anderer",0,"gut",0,1,0
15.99,83,1972,"gute",1,"anderer",0,"gut",0,0,0
12.65,79,1957.5,"gute",1,"anderer",1,"einfach",0,1,0
9.41,100,1972,"durchschnittliche",1,"anderer",0,"gut",0,0,0
11.95,82,1972,"gute",0,"anderer",0,"gut",0,1,0
14.68,59,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
11.85,100,1983,"durchschnittliche",0,"anderer",0,"gut",0,0,0
13.31,65,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
16.12,65,2012.5,"gute",0,"anderer",0,"gut",1,0,1
15.31,61,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
10.65,49,1939,"durchschnittliche",0,"Wohnblock",1,"gut",0,0,0
15.24,63,1924,"gute",0,"Wohnblock",0,"gut",0,2,0
19.9,49,1918,"durchschnittliche",1,"anderer",0,"gut",2,2,0
15.98,49,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,1,0
14.01,95,1918,"durchschnittliche",1,"anderer",0,"gut",0,2,0
14.93,69,2003.5,"durchschnittliche",1,"anderer",0,"gut",0,0,0
14,50,1957.5,"durchschnittliche",0,"Wohnblock",1,"gut",3,0,0
13.55,55,1918,"durchschnittliche",1,"Wohnblock",0,"gut",0,0,0
16.9,132,1939,"durchschnittliche",1,"anderer",0,"gut",2,2,0
4.85,61,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,2,0
6.7,140,1918,"durchschnittliche",0,"anderer",0,"gut",0,1,0
16.05,61,1957.5,"gute",1,"anderer",0,"gut",0,1,0
23.44,96,1957.5,"gute",1,"anderer",1,"gut",3,1,1
15.81,70,1918,"gute",1,"anderer",0,"gut",0,1,0
14.95,77,1983,"gute",1,"anderer",0,"gut",0,0,0
12,75,1957.5,"gute",1,"anderer",0,"wedernoch",0,0,0
20.63,75,1957.5,"gute",1,"anderer",0,"gut",0,3,0
18.88,85,1957.5,"gute",1,"anderer",0,"gut",0,1,0
20.31,96,2012.5,"gute",1,"anderer",0,"gut",3,3,1
14.77,87,1918,"gute",1,"anderer",0,"gut",0,1,0
18.06,67,1957.5,"beste",1,"anderer",1,"gut",0,1,0
11.48,128,1918,"beste",1,"anderer",0,"gut",1,1,0
21,90,1957.5,"beste",1,"anderer",1,"gut",3,1,0
